日期,攻击次数,攻击类型,攻击源,攻击目标,风险评分
2025-01-01,38,DDoS,10.0.0.1,Web服务器,4.52
2025-01-02,28,DDoS,192.168.1.100,文件服务器,2.64
2025-01-03,14,XSS,攻击者A,文件服务器,7.8
2025-01-04,42,SQL注入,172.16.0.1,目标1,4.83
2025-01-05,7,SQL注入,攻击者A,文件服务器,2.87
2025-01-06,20,SQL注入,172.16.0.1,目标1,6.11
2025-01-07,38,DDoS,10.0.0.1,邮件服务器,1.28
2025-01-08,18,钓鱼攻击,172.16.0.1,目标1,8.58
2025-01-09,22,DDoS,172.16.0.1,Web服务器,5.05
2025-01-10,10,钓鱼攻击,10.0.0.1,Web服务器,4.56
2025-01-11,10,恶意软件,172.16.0.1,目标1,9.34
2025-01-12,23,DDoS,192.168.1.100,邮件服务器,7.55
2025-01-13,35,DDoS,攻击者B,邮件服务器,3.94
2025-01-14,39,DDoS,10.0.0.1,Web服务器,6.13
2025-01-15,23,SQL注入,攻击者B,邮件服务器,5.69
2025-01-16,2,SQL注入,10.0.0.1,文件服务器,9.65
2025-01-17,21,钓鱼攻击,10.0.0.1,数据库服务器,8.6
2025-01-18,1,钓鱼攻击,攻击者A,文件服务器,7.73
2025-01-19,23,DDoS,攻击者A,Web服务器,5.86
2025-01-20,43,钓鱼攻击,172.16.0.1,邮件服务器,6.28
2025-01-21,29,SQL注入,攻击者B,目标1,9.69
2025-01-22,37,钓鱼攻击,10.0.0.1,数据库服务器,6.46
2025-01-23,1,恶意软件,172.16.0.1,目标1,3.48
2025-01-24,20,SQL注入,192.168.1.100,Web服务器,3.67
2025-01-25,32,恶意软件,10.0.0.1,邮件服务器,2.49
2025-01-26,11,钓鱼攻击,192.168.1.100,目标1,1.14
2025-01-27,21,XSS,172.16.0.1,目标1,4.81
2025-01-28,43,DDoS,攻击者A,数据库服务器,4.55
2025-01-29,24,SQL注入,172.16.0.1,数据库服务器,3.64
2025-01-30,48,恶意软件,192.168.1.100,邮件服务器,1.13
2025-01-31,26,XSS,10.0.0.1,数据库服务器,2.79
2025-02-01,41,XSS,攻击者B,目标1,7.4
2025-02-02,27,SQL注入,172.16.0.1,目标1,8.11
2025-02-03,15,SQL注入,10.0.0.1,Web服务器,6.45
2025-02-04,14,XSS,攻击者A,目标1,9.34
2025-02-05,46,DDoS,攻击者A,邮件服务器,6.86
2025-02-06,43,DDoS,攻击者A,文件服务器,9.23
2025-02-07,2,恶意软件,10.0.0.1,Web服务器,8.65
2025-02-08,36,DDoS,172.16.0.1,Web服务器,5.05
2025-02-09,6,XSS,10.0.0.1,邮件服务器,1.86
2025-02-10,20,XSS,10.0.0.1,邮件服务器,4.34
2025-02-11,8,钓鱼攻击,攻击者B,数据库服务器,7.02
2025-02-12,38,XSS,攻击者B,Web服务器,6.99
2025-02-13,17,DDoS,172.16.0.1,数据库服务器,6.32
2025-02-14,3,恶意软件,攻击者B,目标1,3.47
2025-02-15,24,钓鱼攻击,攻击者A,Web服务器,6.05
2025-02-16,13,DDoS,攻击者B,Web服务器,4.45
2025-02-17,49,恶意软件,攻击者A,文件服务器,9.75
2025-02-18,8,DDoS,172.16.0.1,Web服务器,8.64
2025-02-19,25,钓鱼攻击,10.0.0.1,目标1,7.5
2025-02-20,1,XSS,10.0.0.1,数据库服务器,3.12
2025-02-21,19,钓鱼攻击,攻击者B,数据库服务器,3.3
2025-02-22,27,XSS,攻击者A,文件服务器,1.36
2025-02-23,46,钓鱼攻击,192.168.1.100,目标1,7.4
2025-02-24,6,SQL注入,192.168.1.100,数据库服务器,2.0
2025-02-25,43,DDoS,192.168.1.100,邮件服务器,4.95
2025-02-26,7,DDoS,10.0.0.1,目标1,2.82
2025-02-27,46,SQL注入,10.0.0.1,目标1,9.06
2025-02-28,34,XSS,攻击者A,文件服务器,5.28
2025-03-01,13,DDoS,攻击者B,数据库服务器,6.07
